actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.870540722459053, accu:0.3022212250392641
actication:relu, hidden64, alpha1e-05, Val: 0.2, Precision: 0.1433, Recall: 0.6334, F1-measure: 0.2313, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.3, Precision: 0.1254, Recall: 0.4189, F1-measure: 0.1910, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.4, Precision: 0.1018, Recall: 0.2983, F1-measure: 0.1504, RANK:10.757908907336773, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.5, Precision: 0.1079, Recall: 0.2958, F1-measure: 0.1550, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.6, Precision: 0.1482, Recall: 0.2869, F1-measure: 0.1845, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.01, Precision: 0.0677, Recall: 0.7124, F1-measure: 0.1232, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.7, Precision: 0.1738, Recall: 0.2154, F1-measure: 0.1854, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.1, Precision: 0.1577, Recall: 0.6598, F1-measure: 0.2526, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.8, Precision: 0.0818, Recall: 0.1039, F1-measure: 0.0890, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.2, Precision: 0.1523, Recall: 0.5943, F1-measure: 0.2393, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden64, alpha1e-05, Val: 0.9, Precision: 0.0473, Recall: 0.0466, F1-measure: 0.0468, RANK:10.757908907336773, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.3, Precision: 0.1349, Recall: 0.5098, F1-measure: 0.2103, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.4, Precision: 0.0971, Recall: 0.3002, F1-measure: 0.1455, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.5, Precision: 0.0976, Recall: 0.2994, F1-measure: 0.1460, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.6, Precision: 0.1062, Recall: 0.2990, F1-measure: 0.1557, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.7, Precision: 0.1291, Recall: 0.2974, F1-measure: 0.1776, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:11.184653354274175, accu:0.3022212250392641

actication:logistic, hidden64, alpha1e-05, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:11.184653354274175, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.355844738613417, accu:0.3022212250392641

actication:relu, hidden128, alpha1e-05, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.355844738613417, accu:0.3022212250392641

